名稱,來源平台,提供機關,格式,資源數,授權,最後更新,ODPortal,原始網址,分級,資源總數,已探測資源,最大記錄數,檔案類欄位,實際型態,合併筆數,合併來源,分級未涵蓋新增資源
中央研究院原住民與身心障礙者人數統計表,政府開放資料平臺,,ODS,1,OGDL-1.0,2023/10/5 下午 06:12:02,https://odportal.tw/dataset/66efQ0tD,https://data.gov.tw/dataset/89444,二進位,1,1,,,zip,1,66efQ0tD,False
原住民族教育,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/1 下午 05:00:47,https://odportal.tw/dataset/68HP8DaP,https://data.gov.tw/dataset/124708,真資料,1,1,19.0,,text,1,68HP8DaP,False
桃園市各區原住民族別人數每月統計(106年1月至114年10月),政府開放資料平臺;桃園市政府,民政局,CSV,91,OGDL-1.0,2026/4/7 上午 09:59:54,https://odportal.tw/dataset/6JOkF4C4,https://opendata.tycg.gov.tw/datalist/4dc4fdbb-89bc-4373-9abb-8c8b2b4566f5,真資料,91,2,26.0,,text,2,6JOkF4C4;DfJbCAFE,False
高雄市原住民就業服務站求職登記人數,高雄市政府,主計處,CSV;JSON,2,OGDL-1.0,2025/9/5 下午 04:34:43,https://odportal.tw/dataset/6Px2VLEP,https://data.kcg.gov.tw/DataSet/Detail/5deb3e59-74f6-4a9f-b544-0801fdd633df,真資料,2,2,12.0,,json;text,1,6Px2VLEP,False
107年現住原住民人口數按性別、原住民身分及族別分,政府開放資料平臺,,CSV;JSON,12,OGDL-1.0,2025/8/19 下午 02:24:19,https://odportal.tw/dataset/6Qvd0VwA,https://data.gov.tw/dataset/111859,真資料,12,2,342.0,,json;text,1,6Qvd0VwA,False
宜蘭縣108年度65歲(原住民55歲)以上老人補助裝置全口假牙「特約牙醫醫療院所」,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/7/4 上午 01:03:47,https://odportal.tw/dataset/6R4bQ1y9,https://data.gov.tw/dataset/129249,失效,1,1,,,,1,6R4bQ1y9,False
10730-09-04-2 臺中市原住民低收入戶及身心障礙者統計,政府開放資料平臺;臺中市政府,臺中市政府原住民族事務委員會,CSV;JSON;XML,18,OGDL-1.0,2026/8/11 下午 01:24:13,https://odportal.tw/dataset/6XjqAsIF,https://opendata.taichung.gov.tw/search/29d37a1f-ad2b-4598-80e9-aba77ab916d3,真資料,18,4,203.0,,json,2,6XjqAsIF;npdIY_gz,False
原住民戶數、人口數按戶別及性別,政府開放資料平臺,,API;CSV;JSON,15,OGDL-1.0,2026/6/22 下午 02:29:21,https://odportal.tw/dataset/6d3FzgS_,https://data.gov.tw/dataset/14301,真資料,15,2,2500.0,,text,1,6d3FzgS_,False
原住民退除役官兵人數按退伍軍階及軍種分,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/6/1 上午 09:37:50,https://odportal.tw/dataset/6mMwbXGi,https://data.gov.tw/dataset/177676,真資料,1,1,90.0,,text,1,6mMwbXGi,False
臺南市國民中學原住民學生數,政府開放資料平臺,,CSV;JSON,6,OGDL-1.0,2026/5/27 下午 02:24:44,https://odportal.tw/dataset/6oIQsyYG,https://data.gov.tw/dataset/152466,真資料,6,2,13.0,,json;text,1,6oIQsyYG,False
新竹縣各鄉鎮市現住原住民人口數按性別、原住民身分及族別分,新竹縣政府,李小姐女士,CSV;XLSX;XML,3,,2025/9/21 上午 12:00:00,https://odportal.tw/dataset/6q7SDg1X,https://www.hsinchu.gov.tw/OpenDataDetail.aspx?n=1&s=340,真資料,3,2,126.0,,xml;zip,1,6q7SDg1X,False
原住民族經濟戶長平均儲蓄金額依區域,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:58:04,https://odportal.tw/dataset/6rKca7Ko,https://data.gov.tw/dataset/145223,真資料,3,2,20.0,,json;text,1,6rKca7Ko,False
原住民族就業者從業身分-按行業及職業分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:13:53,https://odportal.tw/dataset/73zD8-nQ,https://data.gov.tw/dataset/161545,真資料,3,2,232.0,,json;text,1,73zD8-nQ,False
原住民族影視音樂文化創意產業補助清冊,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:55:26,https://odportal.tw/dataset/781OVJ0V,https://data.gov.tw/dataset/137776,真資料,3,2,180.0,,json;text,1,781OVJ0V,False
高雄市原住民人口數統計,高雄市政府,民政局,JSON,1,OGDL-1.0,2026/6/5 上午 09:03:03,https://odportal.tw/dataset/7CkTcKTY,https://data.kcg.gov.tw/DataSet/Detail/65a56dd0-5bfc-44af-a56c-80dd7142b092,空資料,1,1,0.0,,json,1,7CkTcKTY,False
原住民族就業者工作地區-按人口特性分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:14:54,https://odportal.tw/dataset/7Erby5I2,https://data.gov.tw/dataset/161529,真資料,3,2,304.0,,json;text,1,7Erby5I2,False
原民會主管機關公共建設維護管理機制彙整表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:54:07,https://odportal.tw/dataset/7GTCsxZp,https://data.gov.tw/dataset/129523,真資料,3,2,10.0,,json;text,1,7GTCsxZp,False
桃園市原住民身心障礙人數按障礙成因別、身心障礙類別分-每年統計,政府開放資料平臺;桃園市政府,主計處,CSV,1,OGDL-1.0,2026/7/21 上午 10:04:52,https://odportal.tw/dataset/7IOddAZi,https://opendata.tycg.gov.tw/datalist/40221668-9986-43ed-8389-c7ad31a5f15b,真資料,1,1,12.0,,text,2,7IOddAZi;oeOYyg7l,False
原住民族失業者求職找工作管道-按人口特性分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:13:30,https://odportal.tw/dataset/7R8N5XId,https://data.gov.tw/dataset/161519,真資料,3,2,321.0,,json;text,1,7R8N5XId,False
10122-00-05-2 臺中市各區 現住原住民戶數、人口數按戶別及性別分,政府開放資料平臺;臺中市政府,臺中市政府民政局,JSON,6,OGDL-1.0,2026/8/11 下午 03:45:05,https://odportal.tw/dataset/7TaZFJ4I,https://opendata.taichung.gov.tw/search/25fec714-0cb0-4d0e-8f26-82e60a548ad9,真資料,6,2,522.0,,json,2,7TaZFJ4I;vGubjXKt,False
原住民保留地建築及農林用地面積統計,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:55:46,https://odportal.tw/dataset/7iICmJx3,https://data.gov.tw/dataset/164516,真資料,3,2,390.0,,json;text,1,7iICmJx3,False
臺北市原住民族學生獎學金補助情形,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/6/17 上午 11:57:18,https://odportal.tw/dataset/7olhJWdp,https://data.gov.tw/dataset/134635,真資料,1,1,11.0,,text,1,7olhJWdp,False
111-112年玉山國家公園南部園區原住民狩獵自主管理機制規劃案,政府開放資料平臺,,ZIP,1,OGDL-1.0,2026/4/24 下午 03:00:01,https://odportal.tw/dataset/7tOkqVni,https://data.gov.tw/dataset/175893,二進位,1,1,,,zip,1,7tOkqVni,False
115年現住人口數按性別及原住民身分分,政府開放資料平臺,,CSV;JSON,2,OGDL-1.0,2026/7/13 上午 11:32:35,https://odportal.tw/dataset/7w38Adgm,https://data.gov.tw/dataset/176716,真資料,2,2,114.0,,json;text,1,7w38Adgm,False
嘉義市原住民團體名冊,政府開放資料平臺,,CSV,1,OGDL-1.0,2023/4/6 上午 10:59:22,https://odportal.tw/dataset/7xCzF723,https://data.gov.tw/dataset/52450,真資料,1,1,2.0,,text,1,7xCzF723,False
原住民族經濟戶長平均儲蓄金額依族別,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:58:15,https://odportal.tw/dataset/84UPC1gV,https://data.gov.tw/dataset/145222,真資料,3,2,16.0,,json;text,1,84UPC1gV,False
113學年度連江縣高級中等學校原住民學生數,政府開放資料平臺,,ODS,1,OGDL-1.0,2025/6/23 上午 09:42:18,https://odportal.tw/dataset/85Xxoq_y,https://data.gov.tw/dataset/173837,二進位,1,1,,,zip,1,85Xxoq_y,False
全國原住民族運動會各縣市參賽人數統計,政府開放資料平臺,,CSV,2,OGDL-1.0,2025/11/7 下午 05:27:31,https://odportal.tw/dataset/86CDbFuI,https://data.gov.tw/dataset/41365,真資料,2,2,22.0,,text,1,86CDbFuI,False
全國原住民納保分布,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/7/16 下午 01:40:39,https://odportal.tw/dataset/87lv_KLY,https://data.gov.tw/dataset/26765,真資料,1,1,5107.0,,text,1,87lv_KLY,False
10411-01-38-2 臺中市高級中等學校原住民學生數-普通科,政府開放資料平臺;臺中市政府,臺中市政府教育局,CSV;JSON;XML,20,OGDL-1.0,2026/8/7 上午 01:50:26,https://odportal.tw/dataset/8AvsFz-B,https://opendata.taichung.gov.tw/search/6b5f0051-107b-4714-a2ad-a0e666888afa,真資料,20,3,136.0,,json,2,8AvsFz-B;UJhS6ioJ,True
