名稱,來源平台,提供機關,格式,資源數,授權,最後更新,ODPortal,原始網址,分級,資源總數,已探測資源,最大記錄數,檔案類欄位,實際型態,合併筆數,合併來源,分級未涵蓋新增資源
原住民就業者從事的行業－按人口特性及地區分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:48:05,https://odportal.tw/dataset/SUfDcRV_,https://data.gov.tw/dataset/91743,真資料,3,2,33.0,,json;text,1,SUfDcRV_,False
10730-09-05-2 臺中市原住民家庭暴力及性侵害統計,政府開放資料平臺;臺中市政府,臺中市政府原住民族事務委員會,CSV;JSON;XML,57,OGDL-1.0,2026/8/11 上午 04:24:41,https://odportal.tw/dataset/SYH5Waoo,https://opendata.taichung.gov.tw/search/f34cf859-c0ac-4885-bf46-ea011dbce2ab,真資料,57,2,12.0,,json,2,SYH5Waoo;mCMGwNrg,False
臺北市十五歲以上現住原住民人口數按年齡及教育程度分,政府開放資料平臺;臺北市政府,民政局,CSV,3,OGDL-1.0,2026/6/22 下午 03:07:20,https://odportal.tw/dataset/hr8kBt_F,https://data.taipei/dataset/detail?id=417716d9-8227-4ca3-9781-2f5303638241,真資料,3,2,,,,2,Sgc8Yzgr;hr8kBt_F,True
30220-02-05-2 臺中市原住民民俗文化及社會教育活動補助情形,政府開放資料平臺;臺中市政府,臺中市政府原住民族事務委員會,CSV;JSON;XML,15,OGDL-1.0,2026/8/3 下午 11:30:38,https://odportal.tw/dataset/atTYLqg8,https://opendata.taichung.gov.tw/search/6413660e-b179-4b7b-b9b1-dd4a1270c1ca,真資料,15,2,12.0,,json,2,Sq_xUyG1;atTYLqg8,False
111年度臺中市原住民族部落大學彙編原住民族傳統文化教材,政府開放資料平臺;臺中市政府,臺中市政府原住民族事務委員會,PDF,9,OGDL-1.0,2026/8/4 上午 07:25:36,https://odportal.tw/dataset/Sr73fVnJ,https://opendata.taichung.gov.tw/search/44d7d11c-b6f1-44d4-9350-83b8e3a25c5f,二進位,9,2,,,pdf,2,Sr73fVnJ;ccb0QYTx,False
113學年度連江縣國民中學原住民學生數,政府開放資料平臺,,ODS,1,OGDL-1.0,2025/6/23 上午 10:01:38,https://odportal.tw/dataset/SsipAneL,https://data.gov.tw/dataset/173844,二進位,1,1,,,zip,1,SsipAneL,False
原住民族經濟戶長平均每月收入依區域,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:57:18,https://odportal.tw/dataset/Sx1xSsZf,https://data.gov.tw/dataset/145241,真資料,3,2,20.0,,json;text,1,Sx1xSsZf,False
原住民族委員會主管法規,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:52:50,https://odportal.tw/dataset/TB2LBuEQ,https://data.gov.tw/dataset/112716,連結殼,3,2,21.0,檔案下載,json;text,1,TB2LBuEQ,False
原住民族經濟戶長平均每人月收入依性別,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:47:26,https://odportal.tw/dataset/TEIHXra8,https://data.gov.tw/dataset/145204,真資料,3,2,2.0,,json;text,1,TEIHXra8,False
原住民族就業者的行業-按地區別分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:14:12,https://odportal.tw/dataset/TJsCWTXN,https://data.gov.tw/dataset/161536,真資料,3,2,334.0,,json;text,1,TJsCWTXN,False
110年現住原住民人口數按性別、年齡及原住民身分分,政府開放資料平臺,,CSV;JSON,10,OGDL-1.0,2025/12/30 上午 11:56:03,https://odportal.tw/dataset/TR6J0GTs,https://data.gov.tw/dataset/136922,真資料,10,2,344.0,,json;text,1,TR6J0GTs,False
10420-01-06-2 臺中市高級中等學校原住民教師數,政府開放資料平臺;臺中市政府,臺中市政府教育局,CSV;JSON;XML,13,OGDL-1.0,2026/8/11 下午 01:01:06,https://odportal.tw/dataset/TV-ftkS-,https://opendata.taichung.gov.tw/search/54155e44-6cfb-412f-bf4a-6d9c1c7d5a33,真資料,13,3,102.0,,json,2,TV-ftkS-;h1yeyxre,False
臺北市原住民場館介紹,臺北市政府,原民會,CSV,1,,2026/4/23 下午 04:31:41,https://odportal.tw/dataset/TVrtiHBF,https://data.taipei/dataset/detail?id=6a346e1c-b878-4fcf-817f-a7b620791f76,網址無效,1,1,,,,1,TVrtiHBF,False
原住民族經濟戶長目前投資情形依族別,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:00:03,https://odportal.tw/dataset/TaxoASKe,https://data.gov.tw/dataset/145229,真資料,3,2,16.0,,json;text,1,TaxoASKe,False
臺北市原住民族部落大學課程開設及人數,臺北市政府,原民會,CSV,1,,2025/4/21 下午 04:27:12,https://odportal.tw/dataset/TciJyhCO,https://data.taipei/dataset/detail?id=ecda0e95-8673-48ab-8de3-39858f907b5a,網址無效,1,1,,,,1,TciJyhCO,False
臺北市原住民身心障礙者致殘成因,臺北市政府,社會局,CSV,1,,2025/6/26 上午 11:58:49,https://odportal.tw/dataset/Td-2bcvB,https://data.taipei/dataset/detail?id=a3ab0c7d-b7c5-4f11-a27e-218c7785c782,網址無效,1,1,,,,1,Td-2bcvB,False
原住民族家庭經濟戶長對原住民綜合發展基金貸款需求依性別,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:46:40,https://odportal.tw/dataset/Tj382-PJ,https://data.gov.tw/dataset/145195,真資料,3,2,2.0,,json;text,1,Tj382-PJ,False
部落觀光遊程,政府開放資料平臺,,CSV,1,OGDL-1.0,2024/7/10 上午 10:51:34,https://odportal.tw/dataset/TnAduz-l,https://data.gov.tw/dataset/38828,真資料,1,1,15.0,,text,1,TnAduz-l,False
現住原住民族戶口數(民國101年以後),政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/8 下午 01:51:18,https://odportal.tw/dataset/Tngx3V9S,https://data.gov.tw/dataset/125385,真資料,1,1,390.0,,text,1,Tngx3V9S,False
原住民族勞動力參與情形-按人口特性分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:09:43,https://odportal.tw/dataset/TprnNBXL,https://data.gov.tw/dataset/161524,真資料,3,2,322.0,,json;text,1,TprnNBXL,False
107年現住原住民人口數按性別、年齡及原住民身分分,臺南市政府,臺南市政府民政局,CSV;JSON,24,OGDL-1.0,2026/5/4 上午 10:53:33,https://odportal.tw/dataset/TtHO6QqG,https://data.tainan.gov.tw/DataSet/Detail/55dc6f93-777e-4ed2-8660-8e385bf41582,真資料,24,2,344.0,,html;text,1,TtHO6QqG,False
高雄市原住民部落大學教育參與人次,高雄市政府,主計處,,0,OGDL-1.0,2025/9/5 下午 04:37:00,https://odportal.tw/dataset/TuYoJoX3,https://data.kcg.gov.tw/DataSet/Detail/7a4ca3c0-a752-4e08-b620-66d3a751892e,無資源,0,0,,,,1,TuYoJoX3,False
111年現住人口數按性別及原住民身分分,臺南市政府,臺南市政府民政局,CSV;JSON,24,OGDL-1.0,2023/7/5 下午 03:23:29,https://odportal.tw/dataset/U1vMCfS1,https://data.tainan.gov.tw/DataSet/Detail/e51b1fe1-18fd-4564-a6a7-6b69cfdbf222,真資料,24,2,114.0,,html;text,1,U1vMCfS1,False
原住民族家庭經濟戶長對原住民綜合發展基金貸款需求依年齡,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:46:47,https://odportal.tw/dataset/UA27CjvQ,https://data.gov.tw/dataset/145196,真資料,3,2,11.0,,json;text,1,UA27CjvQ,False
原住民族大專畢業生就讀學門人數,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:51:47,https://odportal.tw/dataset/UBkejJG-,https://data.gov.tw/dataset/93931,真資料,3,2,24.0,,json;text,1,UBkejJG-,False
原住民族家庭經濟戶長就業情形依性別,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:59:12,https://odportal.tw/dataset/URGlBrsU,https://data.gov.tw/dataset/145189,真資料,3,2,2.0,,json;text,1,URGlBrsU,False
原住民族經濟戶長目前投資情形依教育程度,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/5/11 下午 04:57:08,https://odportal.tw/dataset/UfefXzlq,https://data.gov.tw/dataset/145228,真資料,3,2,5.0,,json;text,1,UfefXzlq,False
原住民族有酬就業者每月主要工作收入-按地區別分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:07:44,https://odportal.tw/dataset/Uie4kqnZ,https://data.gov.tw/dataset/161521,真資料,3,2,320.0,,json;text,1,Uie4kqnZ,False
臺北市15歲以上原住民之教育程度,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/3/18 上午 09:34:36,https://odportal.tw/dataset/UipdsIOL,https://data.gov.tw/dataset/131760,真資料,1,1,171.0,,text,1,UipdsIOL,False
原住民族教育調查統計之原住民重點學校及實驗教育學校學生人數,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/6/17 上午 10:30:16,https://odportal.tw/dataset/V1soAJgn,https://data.gov.tw/dataset/177484,真資料,3,2,4.0,,json;text,1,V1soAJgn,False
臺北市原住民身心障礙者人數,臺北市政府,社會局,CSV,1,,2025/9/12 下午 04:42:47,https://odportal.tw/dataset/VALquSTM,https://data.taipei/dataset/detail?id=9af2ad0b-e4e7-4981-aa49-52c9db7f213e,網址無效,1,1,,,,1,VALquSTM,False
臺北市原住民族部落大學社區教室,臺北市政府,原民會,CSV,1,,2026/1/29 上午 10:54:33,https://odportal.tw/dataset/VAS0J_m8,https://data.taipei/dataset/detail?id=076911d0-c3cf-427e-9111-a0d37ff1750b,網址無效,1,1,,,,1,VAS0J_m8,False
台閩縣市鄉鎮市區原住民族人口-按性別族別,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/7/26 下午 09:17:14,https://odportal.tw/dataset/VDiI2NyS,https://data.gov.tw/dataset/145512,真資料,3,2,2659.0,,json;text,1,VDiI2NyS,False
臺北市原民會族語學習教室,臺北市政府,原民會,CSV,1,,2025/5/27 上午 11:25:46,https://odportal.tw/dataset/VFfXzBRn,https://data.taipei/dataset/detail?id=8d62da75-21c9-451d-94cc-1b0bea3bd73d,網址無效,1,1,,,,1,VFfXzBRn,False
臺北市原住民場館介紹,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/4/23 下午 04:31:42,https://odportal.tw/dataset/VHaIKIdB,https://data.gov.tw/dataset/145687,真資料,1,1,2.0,,text,1,VHaIKIdB,False
高雄市原住民學生數,政府開放資料平臺,,JSON,1,OGDL-1.0,2026/7/24 上午 08:59:09,https://odportal.tw/dataset/VQliMkNy,https://data.gov.tw/dataset/127110,真資料,1,1,13.0,,json,1,VQliMkNy,False
高雄市原住民進用情形,政府開放資料平臺,,CSV;JSON,2,OGDL-1.0,2026/7/15 下午 12:37:52,https://odportal.tw/dataset/VVBkyt22,https://data.gov.tw/dataset/46852,真資料,2,2,12.0,,json;text,1,VVBkyt22,False
原住民族委員會嚴重特殊傳染性肺炎防治及紓困振興特別預算收支執行狀況月報表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:53:47,https://odportal.tw/dataset/Vg3iV-TC,https://data.gov.tw/dataset/122871,連結殼,3,2,31.0,檔案下載PDF;檔案下載XML,json;text,1,Vg3iV-TC,False
國民年金原住民族給付總發放人數發放金額及受益比統計表依年度,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:56:18,https://odportal.tw/dataset/VkoMBwF-,https://data.gov.tw/dataset/112698,真資料,3,2,15.0,,json;text,1,VkoMBwF-,False
原住民族委員會前瞻基礎建設計畫-決算,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:09:31,https://odportal.tw/dataset/VlGK4DWA,https://data.gov.tw/dataset/112720,連結殼,3,2,9.0,檔案下載PDF,json;text,1,VlGK4DWA,False
連江縣國民小學原住民學生數－族別,政府開放資料平臺,,PDF,1,OGDL-1.0,2021/12/8 下午 02:16:30,https://odportal.tw/dataset/Vsf2_jDt,https://data.gov.tw/dataset/146858,二進位,1,1,,,pdf,1,Vsf2_jDt,False
原住民族委員會獎助大專校院原住民學生獲獎人數及金額統計,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:51:11,https://odportal.tw/dataset/VyOdcH1R,https://data.gov.tw/dataset/164514,真資料,3,2,90.0,,json;text,1,VyOdcH1R,False
108年現住原住民人口數按性別、原住民身分及族別分,政府開放資料平臺,,CSV;JSON,12,OGDL-1.0,2025/8/19 下午 02:31:18,https://odportal.tw/dataset/W0vdWdRO,https://data.gov.tw/dataset/85862,真資料,12,2,342.0,,json;text,1,W0vdWdRO,False
臺北市原住民家庭服務中心,臺北市政府,原民會,CSV,1,,2026/6/17 下午 02:25:47,https://odportal.tw/dataset/W1fCBYje,https://data.taipei/dataset/detail?id=daeb56be-a90f-4d67-a5ce-12edd4239859,網址無效,1,1,,,,1,W1fCBYje,False
臺南市特殊教育學校原住民學生數,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/12/23 下午 11:23:27,https://odportal.tw/dataset/WAkWkXNQ,https://data.gov.tw/dataset/142957,真資料,1,1,2.0,,json,1,WAkWkXNQ,False
大專校院原住民學生及畢業生人數—按等級別與校別分,政府開放資料平臺,,CSV;JSON,5,OGDL-1.0,2026/5/5 下午 01:13:34,https://odportal.tw/dataset/WWFWlfY5,https://data.gov.tw/dataset/33514,真資料,5,2,530.0,,json,1,WWFWlfY5,False
臺北市中等學校及國小原住民學生數,臺北市政府,主計處,CSV,1,,2026/4/28 下午 01:57:45,https://odportal.tw/dataset/WYCwtsy7,https://data.taipei/dataset/detail?id=abeedba5-9465-49ba-8887-03f871915109,網址無效,1,1,,,,1,WYCwtsy7,False
原住民族福利,新北市政府,新北市政府主計處/公務統計科,XLSX,1,OGDL-1.0,2025/11/27 下午 02:31:16,https://odportal.tw/dataset/WhxY4Pho,https://data.ntpc.gov.tw/datasets/c1079436-54f0-41fe-9fda-8accef7ca58f,HTML殼,1,1,,,html,1,WhxY4Pho,False
臺北市原住民族學生獎學金補助情形,臺北市政府,原民會,CSV,1,,2026/6/17 上午 11:57:17,https://odportal.tw/dataset/Wq9Vi-RH,https://data.taipei/dataset/detail?id=70e53cbd-3394-4ec7-aa58-dd7cab7770c2,網址無效,1,1,,,,1,Wq9Vi-RH,False
原住民族經濟戶長平均每月收入－依性別、年齡教育程度分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:45:27,https://odportal.tw/dataset/WrXwrdur,https://data.gov.tw/dataset/91736,真資料,3,2,38.0,,json;text,1,WrXwrdur,False
原住民族就業者從事非典型就業工作的原因-按地區別分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/3 上午 12:16:40,https://odportal.tw/dataset/WsZfRvJW,https://data.gov.tw/dataset/174800,真資料,3,2,40.0,,json;text,1,WsZfRvJW,False
臺北市各區原住民人口數,政府開放資料平臺,,CSV,2,OGDL-1.0,2026/7/7 上午 09:17:32,https://odportal.tw/dataset/Wu0RtPH-,https://data.gov.tw/dataset/132577,真資料,2,2,468.0,,text,1,Wu0RtPH-,False
10730-05-16-2 臺中市原住民身心障礙者人數,政府開放資料平臺;臺中市政府,臺中市政府社會局,CSV;JSON;XML,42,OGDL-1.0,2026/8/10 下午 12:24:56,https://odportal.tw/dataset/kdsqu0Os,https://opendata.taichung.gov.tw/search/06005a5d-ec45-40cc-8ccf-d7d31916fdd1,真資料,42,3,776.0,,json;text;xml,2,X5SI0HW3;kdsqu0Os,True
宜居部落建設計畫-居住環境品質提升計畫核定表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/3 上午 12:26:03,https://odportal.tw/dataset/X7fXNbqz,https://data.gov.tw/dataset/165952,真資料,3,2,103.0,,json;text,1,X7fXNbqz,False
各級學校原住民學生概況,政府開放資料平臺,,CSV;JSON,6,OGDL-1.0,2025/6/6 下午 12:04:43,https://odportal.tw/dataset/XDjjQFDZ,https://data.gov.tw/dataset/40117,真資料,6,2,231.0,,text,1,XDjjQFDZ,False
新北市原民團體資料,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/29 下午 01:43:02,https://odportal.tw/dataset/XFpC6rtD,https://data.gov.tw/dataset/124724,真資料,1,1,86.0,,text,1,XFpC6rtD,False
107年現住原住民人口數按性別、原住民身分及族別分,臺南市政府,臺南市政府民政局,CSV;JSON,24,OGDL-1.0,2026/5/4 上午 10:53:33,https://odportal.tw/dataset/XM1X7T_o,https://data.tainan.gov.tw/DataSet/Detail/402ac206-739f-417a-9e9d-2431ed5e3e5d,真資料,24,2,342.0,,html;text,1,XM1X7T_o,False
原住民族家庭經濟戶長就業情形依教育程度,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:58:58,https://odportal.tw/dataset/XPFey9Bf,https://data.gov.tw/dataset/145191,真資料,3,2,5.0,,json;text,1,XPFey9Bf,False
112年澎湖縣馬公市各里　現住人口數按性別及原住民身分分,澎湖縣政府,馬公戶政事務所,CSV;JSON;XML,3,UNKNOWN,2024/9/19 上午 06:59:08,https://odportal.tw/dataset/XSeeq9fb,http://opendata.penghu.gov.tw/dataset/ka10000-2023-02-13-1676277352,真資料,3,2,1224.0,,json;text,1,XSeeq9fb,False
原住民族文化元素與部落資源運用情形-按統計區域分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:12:29,https://odportal.tw/dataset/XXSmA2Vs,https://data.gov.tw/dataset/174312,真資料,3,2,26.0,,json;text,1,XXSmA2Vs,False
資賦優異原住民族學生人數統計-按地區別與性別,政府開放資料平臺,,CSV,3,OGDL-1.0,2026/5/14 下午 02:51:00,https://odportal.tw/dataset/XhqpdECA,https://data.gov.tw/dataset/157980,真資料,3,2,22.0,,text,1,XhqpdECA,False
現住原住民人口按性別、年齡,政府開放資料平臺,,CSV;JSON,41,OGDL-1.0,2025/12/15 下午 09:45:01,https://odportal.tw/dataset/XkxA_LA-,https://data.gov.tw/dataset/32946,二進位,41,2,,,zip,1,XkxA_LA-,False
臺南市原住民文化表演團體,臺南市政府,臺南市政府原住民族事務委員會,CSV;JSON,2,OGDL-1.0,2025/12/23 下午 02:15:40,https://odportal.tw/dataset/XlgBMKd_,https://data.tainan.gov.tw/DataSet/Detail/1b05a156-f1e6-4f5f-b2f7-bfec329b4aff,真資料,2,2,3.0,,html;text,1,XlgBMKd_,False
原住民族部落永續發展造景計畫核定明細,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:54:14,https://odportal.tw/dataset/XmjT-LNa,https://data.gov.tw/dataset/137401,真資料,3,2,164.0,,json;text,1,XmjT-LNa,False
現住原住民族種族別人口數,新北市政府,新北市政府主計處/公務統計科,XLSX,1,OGDL-1.0,2025/12/8 下午 02:05:20,https://odportal.tw/dataset/XuKBcLXn,https://data.ntpc.gov.tw/datasets/ac89b3ad-6c64-47f4-b5d6-9af374e7c4ee,HTML殼,1,1,,,html,1,XuKBcLXn,False
臺南市高級中學原住民學生數,臺南市政府,臺南市政府教育局,CSV;JSON,8,OGDL-1.0,2026/7/3 上午 10:13:13,https://odportal.tw/dataset/Xuh4muwe,https://data.tainan.gov.tw/DataSet/Detail/f1412f63-d2ba-48cc-8416-3e5cbfeddf19,真資料,8,2,17.0,,html;text,1,Xuh4muwe,False
113年公務人員特種考試外交領事人員及外交行政人員考試、國際經濟商務人員考試、民航人員考試、原住民族考試,政府開放資料平臺,,ZIP,1,OGDL-1.0,2024/10/23 下午 02:48:15,https://odportal.tw/dataset/XwkrYkfh,https://data.gov.tw/dataset/171248,二進位,1,1,,,zip,1,XwkrYkfh,False
臺北市原住民身心障礙者之年齡分配,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/12 下午 03:38:59,https://odportal.tw/dataset/XwpGeEvE,https://data.gov.tw/dataset/135766,真資料,1,1,12.0,,text,1,XwpGeEvE,False
112年公務人員特種考試外交領事人員及外交行政人員考試、國際經濟商務人員考試、民航人員考試、原住民族考試,政府開放資料平臺,,ZIP,1,OGDL-1.0,2023/12/15 下午 03:34:52,https://odportal.tw/dataset/Y-dWEGBO,https://data.gov.tw/dataset/166053,二進位,1,1,,,zip,1,Y-dWEGBO,False
原住民族經濟戶長平均每人月收入依年齡,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:00:11,https://odportal.tw/dataset/YAr-D5bX,https://data.gov.tw/dataset/145205,真資料,3,2,11.0,,json;text,1,YAr-D5bX,False
原住民族委員會巨額採購案件,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:01:28,https://odportal.tw/dataset/YEtJEdrZ,https://data.gov.tw/dataset/129528,真資料,3,2,114.0,,json;text,1,YEtJEdrZ,False
114年現住原住民人口數按性別、年齡及原住民身分分,臺南市政府,臺南市政府民政局,CSV;JSON,16,OGDL-1.0,2026/5/4 上午 10:51:51,https://odportal.tw/dataset/YHwfJhan,https://data.tainan.gov.tw/DataSet/Detail/89a9b846-6c69-4856-888f-ab5645f94ce4,真資料,16,2,456.0,,html;text,1,YHwfJhan,False
原住民族失業者希望從事的工作內容-按地區別分,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:09:10,https://odportal.tw/dataset/YIGM2jNg,https://data.gov.tw/dataset/161517,真資料,3,2,320.0,,json;text,1,YIGM2jNg,False
原住民子女身心障礙類學生數統計,政府開放資料平臺,,CSV,5,OGDL-1.0,2026/5/14 下午 04:21:38,https://odportal.tw/dataset/YSM0aYXv,https://data.gov.tw/dataset/46727,真資料,5,2,22.0,,text,1,YSM0aYXv,False
臺北市原住民身心障礙者人數,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/12 下午 03:38:58,https://odportal.tw/dataset/YTjGSX3-,https://data.gov.tw/dataset/135767,真資料,1,1,10.0,,text,1,YTjGSX3-,False
偏遠與原住民族地區家用桶裝瓦斯價差補助成果,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/6/22 下午 02:06:57,https://odportal.tw/dataset/YYvBKc-B,https://data.gov.tw/dataset/25527,真資料,1,1,78.0,,text,1,YYvBKc-B,False
國民年金老年基本保證年金及原住民給付新申請案件統計表,政府開放資料平臺,,CSV;JSON;WEBSERVICES;XML,4,OGDL-1.0,2026/7/7 下午 03:37:59,https://odportal.tw/dataset/Y_iBPSq4,https://data.gov.tw/dataset/13346,真資料,4,2,72.0,,text;xml,1,Y_iBPSq4,False
原住民族經濟戶長平均儲蓄金額依教育程度,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:58:23,https://odportal.tw/dataset/YcPKdKqN,https://data.gov.tw/dataset/145221,真資料,3,2,5.0,,json;text,1,YcPKdKqN,False
高雄市原住民戶口數年終統計,政府開放資料平臺,,JSON,1,OGDL-1.0,2025/6/30 下午 09:37:55,https://odportal.tw/dataset/YcWoOZxq,https://data.gov.tw/dataset/157259,真資料,1,1,1654.0,,json,1,YcWoOZxq,False
臺灣原住民族圖書資訊中心研究資源目錄,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:52:10,https://odportal.tw/dataset/Yd1SrUX5,https://data.gov.tw/dataset/137720,真資料,3,2,43.0,,json;text,1,Yd1SrUX5,False
桃園市原住民族低收入戶人數每年統計,政府開放資料平臺;桃園市政府,主計處,CSV,1,OGDL-1.0,2026/8/7 下午 06:26:16,https://odportal.tw/dataset/YeiH6nYm,https://opendata.tycg.gov.tw/datalist/aa2ecd74-d90e-498b-be48-f3079f983845,真資料,1,1,15.0,,text,2,YeiH6nYm;uFLjxvJa,False
高雄市原民會族語學習教室,高雄市政府,原民會,CSV;JSON,2,OGDL-1.0,2025/4/10 下午 06:29:23,https://odportal.tw/dataset/YtUzypKe,https://data.kcg.gov.tw/DataSet/Detail/7cfb2d37-693f-4ace-b465-67738ee8b5e6,真資料,2,2,10.0,,json;text,1,YtUzypKe,False
10411-01-47-2 臺中市國民小學補習學校原住民學生數,政府開放資料平臺;臺中市政府,臺中市政府教育局,CSV;JSON;XML,19,OGDL-1.0,2026/8/11 上午 11:43:14,https://odportal.tw/dataset/ZAJp88-2,https://opendata.taichung.gov.tw/search/66a5f284-ae17-4c89-936e-0d56d9d0322f,真資料,19,3,102.0,,json,2,ZAJp88-2;qGgh9SeJ,True
澎湖縣西嶼鄉原住民統計(113年1月起至114年1月止),澎湖縣政府,西嶼戶政事務所,CSV;JSON;XML,3,UNKNOWN,2026/6/2 上午 01:30:25,https://odportal.tw/dataset/ZS_BKC0E,http://opendata.penghu.gov.tw/dataset/376561504a-2025-01-20-1737363985,真資料,3,2,35.0,,json;text,1,ZS_BKC0E,False
國民中小學清寒原住民學生助學金核發統計表,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:45:01,https://odportal.tw/dataset/ZT2JPHb5,https://data.gov.tw/dataset/151915,真資料,3,2,8.0,,json;text,1,ZT2JPHb5,False
中老年慢性病宣導教材原住民語翻譯稿件(布農族),政府開放資料平臺,,PDF,1,OGDL-1.0,2026/4/13 上午 10:51:04,https://odportal.tw/dataset/ZVLcXhwP,https://data.gov.tw/dataset/177390,二進位,1,1,,,pdf,1,ZVLcXhwP,False
原住民族教育調查統計之歷年原住民國中一年級族語能力比較,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:12:01,https://odportal.tw/dataset/ZWw-3noU,https://data.gov.tw/dataset/170576,真資料,3,2,89.0,,json;text,1,ZWw-3noU,False
原住民族家庭經濟戶長就業情形依區域,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 04:58:45,https://odportal.tw/dataset/Zc1nHjTu,https://data.gov.tw/dataset/145194,真資料,3,2,20.0,,json;text,1,Zc1nHjTu,False
原住民族委員原住民族文化發展中心對直轄市及縣市政府原住民文化館改善計畫補助情形,政府開放資料平臺,,CSV;JSON;XML,3,OGDL-1.0,2026/4/5 下午 05:02:46,https://odportal.tw/dataset/Ziyj0qxZ,https://data.gov.tw/dataset/165266,真資料,3,2,136.0,,json;text,1,Ziyj0qxZ,False
108年現住原住民人口數按性別、年齡及原住民身分分,政府開放資料平臺,,CSV;JSON,12,OGDL-1.0,2025/12/30 下午 02:18:02,https://odportal.tw/dataset/ZxbXHIjC,https://data.gov.tw/dataset/85867,真資料,12,2,344.0,,json;text,1,ZxbXHIjC,False
115年現住原住民人口數按性別、原住民身分及族別分,臺南市政府,臺南市政府民政局,CSV;JSON,2,OGDL-1.0,2026/7/13 上午 11:55:50,https://odportal.tw/dataset/_1HDZJQX,https://data.tainan.gov.tw/DataSet/Detail/bd469c3a-2e61-47d7-9d9a-d5089d55b360,真資料,2,2,114.0,,html;text,1,_1HDZJQX,False
現住原住民族婚姻現況,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/12/8 下午 02:01:20,https://odportal.tw/dataset/_8Jy5l2I,https://data.gov.tw/dataset/124571,真資料,1,1,1620.0,,text,1,_8Jy5l2I,False
臺北市特殊教育學校原住民學生數,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/6/18 上午 11:10:33,https://odportal.tw/dataset/_8Ojwa3y,https://data.gov.tw/dataset/157944,真資料,1,1,18.0,,text,1,_8Ojwa3y,False
現住原住民年齡分配,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/8/2 上午 01:02:56,https://odportal.tw/dataset/_BJMg0Jv,https://data.gov.tw/dataset/129398,失效,1,1,,,,1,_BJMg0Jv,False
