名稱,來源平台,提供機關,格式,資源數,授權,最後更新,ODPortal,原始網址,分級,資源總數,已探測資源,與其他資料集共用資源,最大記錄數,檔案類欄位,實際型態
偏遠與原住民族地區家用桶裝瓦斯差價補助金額,政府開放資料平臺,,CSV,1,OGDL-1.0,2025/9/17 上午 11:21:26,https://odportal.tw/dataset/tRlurc0U,https://data.gov.tw/dataset/16410,真資料,1,1,,751,,text
偏遠與原住民族地區家用桶裝瓦斯價差補助成果,政府開放資料平臺,,CSV,1,OGDL-1.0,2026/6/22 下午 02:06:57,https://odportal.tw/dataset/YYvBKc-B,https://data.gov.tw/dataset/25527,真資料,1,1,,78,,text
國民小學原住民學生及畢業生人數—按年級別與校別分,政府開放資料平臺,,CSV;JSON,6,OGDL-1.0,2026/5/7 上午 09:28:44,https://odportal.tw/dataset/tCF3qKbU,https://data.gov.tw/dataset/33511,真資料,6,2,,5680,,text
國民中小學原住民學生及畢業生人數—按年級別、等級別與性別分,政府開放資料平臺,,CSV;JSON,6,OGDL-1.0,2026/5/7 上午 09:34:26,https://odportal.tw/dataset/FRDjz7yt,https://data.gov.tw/dataset/33510,真資料,6,2,,88,,text
國民中小學清寒原住民學生助學金核發統計表,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 04:45:01,https://odportal.tw/dataset/ZT2JPHb5,https://data.gov.tw/dataset/151915,真資料,3,2,,8,,json;text
國民中學原住民學生及畢業生人數—按年級別與校別分,政府開放資料平臺,,CSV;JSON,6,OGDL-1.0,2026/5/7 上午 09:33:20,https://odportal.tw/dataset/8eR8Y_os,https://data.gov.tw/dataset/33509,真資料,6,2,,6050,,text
國民年金老年基本保證年金及原住民給付每月核定案件及給付金額統計資料,政府開放資料平臺,,CSV;JSON;WEBSERVICES;XML,4,OGDL-1.0,2026/7/7 下午 03:38:39,https://odportal.tw/dataset/uDJo_imK,https://data.gov.tw/dataset/13347,真資料,4,2,,38,,text;xml
國民年金老年基本保證年金及原住民給付新申請案件統計表,政府開放資料平臺,,CSV;JSON;WEBSERVICES;XML,4,OGDL-1.0,2026/7/7 下午 03:37:59,https://odportal.tw/dataset/Y_iBPSq4,https://data.gov.tw/dataset/13346,真資料,4,2,,72,,text;xml
國民年金原住民族給付總發放人數發放金額及受益比統計表依年度,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 04:56:18,https://odportal.tw/dataset/VkoMBwF-,https://data.gov.tw/dataset/112698,真資料,3,2,,15,,json;text
國民年金原住民族給付總發放人數發放金額及受益比統計表依縣市別統計,政府開放資料平臺,,JSON;XML;CSV,3,OGDL-1.0,2026/4/5 下午 04:52:57,https://odportal.tw/dataset/tMNIUTwG,https://data.gov.tw/dataset/166823,真資料,3,2,,66,,json;text
